Input,Approved name
NCL,nucleolin
GALNT2,polypeptide N-acetylgalactosaminyltransferase 2
FTO,FTO alpha-ketoglutarate dependent dioxygenase
C11orf1,chromosome 11 open reading frame 1
ITGB3,integrin subunit beta 3
ANAPC7,anaphase promoting complex subunit 7
PPIL1,peptidylprolyl isomerase like 1
HAX1,HCLS1 associated protein X-1
APEH,acylaminoacyl-peptide hydrolase
PIN4,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
OARD1,O-acyl-ADP-ribose deacylase 1
AMPD2,adenosine monophosphate deaminase 2
MUCL1,mucin like 1
CAV2,caveolin 2
SLC45A2,solute carrier family 45 member 2
RPL26,ribosomal protein L26
NF1,neurofibromin 1
MFSD8,major facilitator superfamily domain containing 8
RACGAP1,Rac GTPase activating protein 1
TUBG1,tubulin gamma 1
TMEM199,transmembrane protein 199
PPP3R1,"protein phosphatase 3 regulatory subunit B, alpha"
CTNNB1,catenin beta 1
IFNG,interferon gamma
PTGES3,prostaglandin E synthase 3
BANP,BTG3 associated nuclear protein
C10orf90,chromosome 10 open reading frame 90
RPS26P11,ribosomal protein S26 pseudogene 11
DPF2,double PHD fingers 2
MPHOSPH8,M-phase phosphoprotein 8
MAPK13,mitogen-activated protein kinase 13
FRAT2,FRAT regulator of WNT signaling pathway 2
TRIM32,tripartite motif containing 32
INCENP,inner centromere protein
SDF2,stromal cell derived factor 2
CAPRIN1,cell cycle associated protein 1
TEC,tec protein tyrosine kinase
ARID1A,AT-rich interaction domain 1A
UBB,ubiquitin B
ILKAP,ILK associated serine/threonine phosphatase
MEPE,matrix extracellular phosphoglycoprotein
DEUP1,deuterosome assembly protein 1
RARA,retinoic acid receptor alpha
MRTO4,"MRT4 homolog, ribosome maturation factor"
IQCF1,IQ motif containing F1
DTX3L,deltex E3 ubiquitin ligase 3L
MATN3,matrilin 3
GLIS1,GLIS family zinc finger 1
CBY1,"chibby family member 1, beta catenin antagonist"
NSD1,nuclear receptor binding SET domain protein 1
PIH1D1,PIH1 domain containing 1
PLEKHA6,pleckstrin homology domain containing A6
MRE11,"MRE11 homolog, double strand break repair nuclease"
JAZF1,JAZF zinc finger 1
SKP1,S-phase kinase associated protein 1
EMC2,ER membrane protein complex subunit 2
CAVIN1,caveolae associated protein 1
SRSF6,serine and arginine rich splicing factor 6
MIR34A,microRNA 34a
MYL12A,myosin light chain 12A
ERBB4,erb-b2 receptor tyrosine kinase 4
STIP1,stress induced phosphoprotein 1
MEF2D,myocyte enhancer factor 2D
ATXN7,ataxin 7
NUDT5,nudix hydrolase 5
BRD2,bromodomain containing 2
DGUOK,deoxyguanosine kinase
CACYBP,calcyclin binding protein
MMP12,matrix metallopeptidase 12
TRMT1,tRNA methyltransferase 1
CNTF,ciliary neurotrophic factor
HIC1,HIC ZBTB transcriptional repressor 1
HAUS5,HAUS augmin like complex subunit 5
RAD50,RAD50 double strand break repair protein
FBXO7,F-box protein 7
IRS2,insulin receptor substrate 2
DCAF7,DDB1 and CUL4 associated factor 7
RAB14,"RAB14, member RAS oncogene family"
TCTEX1D2,Tctex1 domain containing 2
KDM6A,lysine demethylase 6A
PDXDC1,pyridoxal dependent decarboxylase domain containing 1
NPAS3,neuronal PAS domain protein 3
EPB41L4B,erythrocyte membrane protein band 4.1 like 4B
DCP2,decapping mRNA 2
HECTD1,HECT domain E3 ubiquitin protein ligase 1
ELF2,E74 like ETS transcription factor 2
SMAD7,SMAD family member 7
FGF18,fibroblast growth factor 18
PPARA,peroxisome proliferator activated receptor alpha
RAD23A,"RAD23 homolog A, nucleotide excision repair protein"
FES,"FES proto-oncogene, tyrosine kinase"
DDIAS,DNA damage induced apoptosis suppressor
CNTN2,contactin 2
PPP1CC,protein phosphatase 1 catalytic subunit gamma
VPS33A,VPS33A core subunit of CORVET and HOPS complexes
ATXN2L,ataxin 2 like
TBRG4,transforming growth factor beta regulator 4
OFD1,OFD1 centriole and centriolar satellite protein
CKAP5,cytoskeleton associated protein 5
EPN1,epsin 1
DSP,desmoplakin
MAPRE1,microtubule associated protein RP/EB family member 1
ZNF512,zinc finger protein 512
ZNF747,zinc finger protein 747
PTAFR,platelet activating factor receptor
RPL22,ribosomal protein L22
FAM219A,family with sequence similarity 219 member A
PRPH,peripherin
GOLGB1,golgin B1
RSC1A1,regulator of solute carriers 1
TMBIM1,transmembrane BAX inhibitor motif containing 1
TRAF3IP1,TRAF3 interacting protein 1
TRRAP,transformation/transcription domain associated protein
PRIM1,DNA primase subunit 1
RBPMS,"RNA binding protein, mRNA processing factor"
BIRC2,baculoviral IAP repeat containing 2
GPR156,G protein-coupled receptor 156
ZCRB1,zinc finger CCHC-type and RNA binding motif containing 1
HK2,hexokinase 2
NOP53,NOP53 ribosome biogenesis factor
AKR1C2,aldo-keto reductase family 1 member C2
IGFBP2,insulin like growth factor binding protein 2
MC4R,melanocortin 4 receptor
RPL19,ribosomal protein L19
MIR200C,microRNA 200c
PDIA5,protein disulfide isomerase family A member 5
EIF4EBP2,eukaryotic translation initiation factor 4E binding protein 2
ICAM2,intercellular adhesion molecule 2
BLM,BLM RecQ like helicase
MIRLET7E,microRNA let-7e
IMPDH1,inosine monophosphate dehydrogenase 1
MTBP,MDM2 binding protein
EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1
SPATA20,spermatogenesis associated 20
NME1,NME/NM23 nucleoside diphosphate kinase 1
MDM4,MDM4 regulator of p53
AP3D1,adaptor related protein complex 3 subunit delta 1
MRM3,mitochondrial rRNA methyltransferase 3
MYD88,MYD88 innate immune signal transduction adaptor
EIF2S1,eukaryotic translation initiation factor 2 subunit alpha
AAGAB,alpha and gamma adaptin binding protein
ATM,ATM serine/threonine kinase
NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3
MIR29B2,microRNA 29b-2
ENAH,ENAH actin regulator
MIR7-1,microRNA 7-1
ZNF408,zinc finger protein 408
RPS20,ribosomal protein S20
GDI2,GDP dissociation inhibitor 2
CKAP2,cytoskeleton associated protein 2
ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
MZT2B,mitotic spindle organizing protein 2B
STK3,serine/threonine kinase 3
BAX,"BCL2 associated X, apoptosis regulator"
COL8A2,collagen type VIII alpha 2 chain
DGAT1,diacylglycerol O-acyltransferase 1
POLR1E,RNA polymerase I subunit E
EGLN3,egl-9 family hypoxia inducible factor 3
USP17L2,ubiquitin specific peptidase 17 like family member 2
MIR140,microRNA 140
JMJD1C,jumonji domain containing 1C
KPNA4,karyopherin subunit alpha 4
HLA-A,"major histocompatibility complex, class I, A"
RNU12,"RNA, U12 small nuclear"
ZNF205,zinc finger protein 205
PDHA1,pyruvate dehydrogenase E1 subunit alpha 1
CASP14,caspase 14
ZFYVE9,zinc finger FYVE-type containing 9
PTBP3,polypyrimidine tract binding protein 3
FDFT1,farnesyl-diphosphate farnesyltransferase 1
PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A"
SYNE4,spectrin repeat containing nuclear envelope family member 4
UBL4A,ubiquitin like 4A
REL,"REL proto-oncogene, NF-kB subunit"
MEP1B,meprin A subunit beta
RTN3,reticulon 3
ZYG11B,"zyg-11 family member B, cell cycle regulator"
PARP2,poly(ADP-ribose) polymerase 2
PCDHA4,protocadherin alpha 4
WIZ,WIZ zinc finger
MAD2L1BP,MAD2L1 binding protein
NOP56,NOP56 ribonucleoprotein
AIFM2,apoptosis inducing factor mitochondria associated 2
MIF4GD,MIF4G domain containing
MIR20B,microRNA 20b
PCGF6,polycomb group ring finger 6
CX3CL1,C-X3-C motif chemokine ligand 1
RTCB,"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
ITGB2,integrin subunit beta 2
PTPN1,protein tyrosine phosphatase non-receptor type 1
SAFB,scaffold attachment factor B
SELE,selectin E
RUVBL2,RuvB like AAA ATPase 2
CENPB,centromere protein B
RUBCN,rubicon autophagy regulator
SERTAD4,SERTA domain containing 4
RTN2,reticulon 2
FBXO6,F-box protein 6
SH2B3,SH2B adaptor protein 3
KAT8,lysine acetyltransferase 8
TMEM97,transmembrane protein 97
LAPTM5,lysosomal protein transmembrane 5
MECP2,methyl-CpG binding protein 2
KMT2E,lysine methyltransferase 2E
VAMP1,vesicle associated membrane protein 1
PCID2,PCI domain containing 2
ILF3,interleukin enhancer binding factor 3
RNF123,ring finger protein 123
GPR35,G protein-coupled receptor 35
FNBP1,formin binding protein 1
ANKRD34A,ankyrin repeat domain 34A
ABCA13,ATP binding cassette subfamily A member 13
CREBZF,CREB/ATF bZIP transcription factor
MDN1,midasin AAA ATPase 1
CAPG,"capping actin protein, gelsolin like"
PNO1,partner of NOB1 homolog
MACROD1,mono-ADP ribosylhydrolase 1
PLEKHO1,pleckstrin homology domain containing O1
ACTA1,"actin alpha 1, skeletal muscle"
FAM171A2,family with sequence similarity 171 member A2
REG3A,regenerating family member 3 alpha
PRMT8,protein arginine methyltransferase 8
CSTF2,cleavage stimulation factor subunit 2
RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4
PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
KLF10,Kruppel like factor 10
IRF1,interferon regulatory factor 1
OS9,OS9 endoplasmic reticulum lectin
AHCYL1,adenosylhomocysteinase like 1
RPS18,ribosomal protein S18
MIR200A,microRNA 200a
CLASRP,CLK4 associating serine/arginine rich protein
FBXO28,F-box protein 28
FARSA,phenylalanyl-tRNA synthetase subunit alpha
TGFA,transforming growth factor alpha
RIBC2,RIB43A domain with coiled-coils 2
XPC,"XPC complex subunit, DNA damage recognition and repair factor"
PPP1R13B,protein phosphatase 1 regulatory subunit 13B
PPIH,peptidylprolyl isomerase H
SPSB2,splA/ryanodine receptor domain and SOCS box containing 2
LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"
RPSA,ribosomal protein SA
RECQL5,RecQ like helicase 5
NLRP1,NLR family pyrin domain containing 1
FERMT3,fermitin family member 3
MRPS22,mitochondrial ribosomal protein S22
SLC38A3,solute carrier family 38 member 3
TIMM50,translocase of inner mitochondrial membrane 50
NTPCR,"nucleoside-triphosphatase, cancer-related"
RPL11,ribosomal protein L11
CSNK2A1,casein kinase 2 alpha 1
TFAP2B,transcription factor AP-2 beta
SP6,Sp6 transcription factor
CBX8,chromobox 8
DOK5,docking protein 5
GTF3C4,general transcription factor IIIC subunit 4
SH3BGRL,SH3 domain binding glutamate rich protein like
RPAP1,RNA polymerase II associated protein 1
TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"
EIF4G2,eukaryotic translation initiation factor 4 gamma 2
STAM,signal transducing adaptor molecule
ENOX1,ecto-NOX disulfide-thiol exchanger 1
MYL6B,myosin light chain 6B
MCC,MCC regulator of WNT signaling pathway
ATAD3A,ATPase family AAA domain containing 3A
HLA-C,"major histocompatibility complex, class I, C"
RPS15P2,ribosomal protein S15 pseudogene 2
NCCRP1,"NCCRP1, F-box associated domain containing"
SYDE1,synapse defective Rho GTPase homolog 1
NRG1,neuregulin 1
PBDC1,polysaccharide biosynthesis domain containing 1
RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1
MRPL44,mitochondrial ribosomal protein L44
NXF1,nuclear RNA export factor 1
SHD,Src homology 2 domain containing transforming protein D
ZFYVE16,zinc finger FYVE-type containing 16
GID8,GID complex subunit 8 homolog
BRINP1,BMP/retinoic acid inducible neural specific 1
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1
USP50,ubiquitin specific peptidase 50
CRY1,cryptochrome circadian regulator 1
RAP2A,"RAP2A, member of RAS oncogene family"
UBE2E1,ubiquitin conjugating enzyme E2 E1
KRAS,"KRAS proto-oncogene, GTPase"
RPL3,ribosomal protein L3
TRIP12,thyroid hormone receptor interactor 12
DICER1,"dicer 1, ribonuclease III"
TSPAN10,tetraspanin 10
FOXG1,forkhead box G1
URGCP,upregulator of cell proliferation
MIR7-2,microRNA 7-2
SRRM4,serine/arginine repetitive matrix 4
ZNF593,zinc finger protein 593
DNAJB6,DnaJ heat shock protein family (Hsp40) member B6
YBX3,Y-box binding protein 3
KCTD17,potassium channel tetramerization domain containing 17
ARMCX2,armadillo repeat containing X-linked 2
POU2F2,POU class 2 homeobox 2
AHSG,alpha 2-HS glycoprotein
SRP14,signal recognition particle 14
TRIM8,tripartite motif containing 8
CAP2,cyclase associated actin cytoskeleton regulatory protein 2
TNC,tenascin C
RBM41,RNA binding motif protein 41
YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
HMGN4,high mobility group nucleosomal binding domain 4
APOE,apolipoprotein E
KAT5,lysine acetyltransferase 5
TDRD7,tudor domain containing 7
TOR1AIP1,torsin 1A interacting protein 1
HOXB7,homeobox B7
NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2
SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor"
CEP170,centrosomal protein 170
C1QL1,complement C1q like 1
SLBP,stem-loop binding protein
POSTN,periostin
ADORA1,adenosine A1 receptor
PTPN18,protein tyrosine phosphatase non-receptor type 18
KRR1,KRR1 small subunit processome component homolog
USP10,ubiquitin specific peptidase 10
RPF1,ribosome production factor 1 homolog
ACKR3,atypical chemokine receptor 3
OTUD1,OTU deubiquitinase 1
CRELD2,cysteine rich with EGF like domains 2
TGFB2,transforming growth factor beta 2
RPP25,ribonuclease P and MRP subunit p25
SLC7A5,solute carrier family 7 member 5
BAG2,BAG cochaperone 2
PCDHGB1,"protocadherin gamma subfamily B, 1"
CDK20,cyclin dependent kinase 20
LRRC4,leucine rich repeat containing 4
SOX17,SRY-box transcription factor 17
SEC31A,"SEC31 homolog A, COPII coat complex component"
C3,complement C3
BCAR3,"BCAR3 adaptor protein, NSP family member"
HSPA1A,heat shock protein family A (Hsp70) member 1A
RBBP7,"RB binding protein 7, chromatin remodeling factor"
ZNF32,zinc finger protein 32
HNRNPA0,heterogeneous nuclear ribonucleoprotein A0
USP28,ubiquitin specific peptidase 28
LEMD2,LEM domain nuclear envelope protein 2
EXOC7,exocyst complex component 7
EVA1C,eva-1 homolog C
PES1,pescadillo ribosomal biogenesis factor 1
HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
LGALS3BP,galectin 3 binding protein
DRG1,developmentally regulated GTP binding protein 1
ELMO2,engulfment and cell motility 2
UBE2G2,ubiquitin conjugating enzyme E2 G2
MED28,mediator complex subunit 28
BECN1,beclin 1
MPP5,membrane palmitoylated protein 5
SLC5A3,solute carrier family 5 member 3
LACRT,lacritin
UMOD,uromodulin
SOX2,SRY-box transcription factor 2
ACTA2,"actin alpha 2, smooth muscle"
EIF2B1,eukaryotic translation initiation factor 2B subunit alpha
MON2,"MON2 homolog, regulator of endosome-to-Golgi trafficking"
ZNHIT1,zinc finger HIT-type containing 1
CDH18,cadherin 18
CHEK2,checkpoint kinase 2
MIPEP,mitochondrial intermediate peptidase
E2F3,E2F transcription factor 3
SUMO2,small ubiquitin like modifier 2
SBF1,SET binding factor 1
HSPE1,heat shock protein family E (Hsp10) member 1
CNOT6L,CCR4-NOT transcription complex subunit 6 like
NIPSNAP3A,nipsnap homolog 3A
HSF1,heat shock transcription factor 1
L3MBTL3,L3MBTL histone methyl-lysine binding protein 3
RPL10,ribosomal protein L10
MRPL38,mitochondrial ribosomal protein L38
MRPS6,mitochondrial ribosomal protein S6
ACVR1C,activin A receptor type 1C
POLR3G,RNA polymerase III subunit G
CHD3,chromodomain helicase DNA binding protein 3
MARK3,microtubule affinity regulating kinase 3
TRAF5,TNF receptor associated factor 5
RPL9,ribosomal protein L9
SWT1,SWT1 RNA endoribonuclease homolog
WWC2,WW and C2 domain containing 2
PABPC3,poly(A) binding protein cytoplasmic 3
RPL37A,ribosomal protein L37a
SH2D2A,SH2 domain containing 2A
ZDHHC17,zinc finger DHHC-type palmitoyltransferase 17
DNAJA1,DnaJ heat shock protein family (Hsp40) member A1
NONO,non-POU domain containing octamer binding
SSX2B,SSX family member 2B
FANCE,FA complementation group E
PTK2,protein tyrosine kinase 2
USF1,upstream transcription factor 1
SPARCL1,SPARC like 1
PLCE1,phospholipase C epsilon 1
PGAM5,"PGAM family member 5, mitochondrial serine/threonine protein phosphatase"
PRRC2C,proline rich coiled-coil 2C
TAF9,TATA-box binding protein associated factor 9
FRMD1,FERM domain containing 1
SOAT1,sterol O-acyltransferase 1
DYNC1I1,dynein cytoplasmic 1 intermediate chain 1
APOD,apolipoprotein D
WASHC3,WASH complex subunit 3
SKP2,S-phase kinase associated protein 2
DHX57,DExH-box helicase 57
TCERG1,transcription elongation regulator 1
LBP,lipopolysaccharide binding protein
TCEA2,transcription elongation factor A2
MPRIP,myosin phosphatase Rho interacting protein
MYH9,myosin heavy chain 9
DDX60,DExD/H-box helicase 60
CAV1,caveolin 1
AXIN1,axin 1
SPCS2,signal peptidase complex subunit 2
ATF3,activating transcription factor 3
CCDC112,coiled-coil domain containing 112
CDH11,cadherin 11
KIF22,kinesin family member 22
TMEM25,transmembrane protein 25
FIBP,FGF1 intracellular binding protein
MIRLET7B,microRNA let-7b
ZNF133,zinc finger protein 133
ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit"
NPPB,natriuretic peptide B
ARPC1A,actin related protein 2/3 complex subunit 1A
OTULIN,OTU deubiquitinase with linear linkage specificity
SMURF2,SMAD specific E3 ubiquitin protein ligase 2
CAMK2A,calcium/calmodulin dependent protein kinase II alpha
ZC3H13,zinc finger CCCH-type containing 13
MAP3K4,mitogen-activated protein kinase kinase kinase 4
EVL,Enah/Vasp-like
ZSCAN1,zinc finger and SCAN domain containing 1
ANKRA2,ankyrin repeat family A member 2
SLC25A3,solute carrier family 25 member 3
COA3,cytochrome c oxidase assembly factor 3
ZNF768,zinc finger protein 768
SLC3A2,solute carrier family 3 member 2
MIRLET7D,microRNA let-7d
SPSB4,splA/ryanodine receptor domain and SOCS box containing 4
RNF183,ring finger protein 183
BTAF1,B-TFIID TATA-box binding protein associated factor 1
GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1
POLR1C,RNA polymerase I and III subunit C
NINL,ninein like
GNL3,G protein nucleolar 3
NACC1,nucleus accumbens associated 1
ABAT,4-aminobutyrate aminotransferase
CDKN2AIP,CDKN2A interacting protein
GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3
VDAC2,voltage dependent anion channel 2
MAP3K10,mitogen-activated protein kinase kinase kinase 10
OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1"
TBL2,transducin beta like 2
TIMM13,translocase of inner mitochondrial membrane 13
JADE1,jade family PHD finger 1
GFI1B,growth factor independent 1B transcriptional repressor
RYBP,RING1 and YY1 binding protein
RPS6KA3,ribosomal protein S6 kinase A3
CUL5,cullin 5
GANAB,glucosidase II alpha subunit
BCL2L12,BCL2 like 12
SAV1,salvador family WW domain containing protein 1
ELK1,ETS transcription factor ELK1
COL17A1,collagen type XVII alpha 1 chain
ALYREF,Aly/REF export factor
CNOT3,CCR4-NOT transcription complex subunit 3
FBLN7,fibulin 7
DAPK1,death associated protein kinase 1
MED21,mediator complex subunit 21
ELAVL2,ELAV like RNA binding protein 2
EFL1,elongation factor like GTPase 1
MDH2,malate dehydrogenase 2
BCL7C,BAF chromatin remodeling complex subunit BCL7C
UBE2Q1,ubiquitin conjugating enzyme E2 Q1
FAM107A,family with sequence similarity 107 member A
HSPA2,heat shock protein family A (Hsp70) member 2
MMP10,matrix metallopeptidase 10
DPP4,dipeptidyl peptidase 4
RRS1,ribosome biogenesis regulator 1 homolog
USP36,ubiquitin specific peptidase 36
GSK3A,glycogen synthase kinase 3 alpha
CSF3R,colony stimulating factor 3 receptor
BRF1,BRF1 RNA polymerase III transcription initiation factor subunit
TMEM43,transmembrane protein 43
PLA2G2A,phospholipase A2 group IIA
DENND1A,DENN domain containing 1A
GET4,guided entry of tail-anchored proteins factor 4
SERPINB4,serpin family B member 4
DUSP14,dual specificity phosphatase 14
TFAM,"transcription factor A, mitochondrial"
IRS4,insulin receptor substrate 4
MAP2K2,mitogen-activated protein kinase kinase 2
FBXW8,F-box and WD repeat domain containing 8
DVL2,dishevelled segment polarity protein 2
MIR145,microRNA 145
TTYH2,tweety family member 2
PSMC4,"proteasome 26S subunit, ATPase 4"
CABLES2,Cdk5 and Abl enzyme substrate 2
TMEFF2,transmembrane protein with EGF like and two follistatin like domains 2
ZNF510,zinc finger protein 510
CLNK,cytokine dependent hematopoietic cell linker
DACT1,dishevelled binding antagonist of beta catenin 1
GNG12,G protein subunit gamma 12
HSP90AA5P,"heat shock protein 90 alpha family class A member 5, pseudogene"
ABRAXAS2,"abraxas 2, BRISC complex subunit"
UHRF2,ubiquitin like with PHD and ring finger domains 2
AMH,anti-Mullerian hormone
LAMA4,laminin subunit alpha 4
GMDS,"GDP-mannose 4,6-dehydratase"
PSMC3IP,PSMC3 interacting protein
TTI1,TELO2 interacting protein 1
KRT40,keratin 40
PSMA8,proteasome 20S subunit alpha 8
DCAF4L2,DDB1 and CUL4 associated factor 4 like 2
SF3B2,splicing factor 3b subunit 2
GTF2I,general transcription factor IIi
LIMCH1,LIM and calponin homology domains 1
RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B
HDAC6,histone deacetylase 6
KDM4D,lysine demethylase 4D
PHF20,PHD finger protein 20
PPP1CB,protein phosphatase 1 catalytic subunit beta
PCDHGA5,"protocadherin gamma subfamily A, 5"
COPS8,COP9 signalosome subunit 8
PRKACA,protein kinase cAMP-activated catalytic subunit alpha
NCAM1,neural cell adhesion molecule 1
PDLIM5,PDZ and LIM domain 5
SMC3,structural maintenance of chromosomes 3
CYP2C8,cytochrome P450 family 2 subfamily C member 8
WNT3,Wnt family member 3
NUMA1,nuclear mitotic apparatus protein 1
STUB1,STIP1 homology and U-box containing protein 1
BAK1,BCL2 antagonist/killer 1
DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
ADAR,adenosine deaminase RNA specific
TDRD3,tudor domain containing 3
ITM2B,integral membrane protein 2B
KRTAP10-9,keratin associated protein 10-9
LAD1,ladinin 1
SH3PXD2A,SH3 and PX domains 2A
MGMT,O-6-methylguanine-DNA methyltransferase
ZCCHC17,zinc finger CCHC-type containing 17
MPI,mannose phosphate isomerase
BASP1,brain abundant membrane attached signal protein 1
AMBP,alpha-1-microglobulin/bikunin precursor
DDX31,DEAD-box helicase 31
NR1I2,nuclear receptor subfamily 1 group I member 2
LRIG1,leucine rich repeats and immunoglobulin like domains 1
PSMA2,proteasome 20S subunit alpha 2
FMR1,FMRP translational regulator 1
NQO2,N-ribosyldihydronicotinamide:quinone reductase 2
FAF2,Fas associated factor family member 2
YAP1,Yes1 associated transcriptional regulator
ZNF24,zinc finger protein 24
LTK,leukocyte receptor tyrosine kinase
XPO6,exportin 6
RPL6,ribosomal protein L6
DYNLT1,dynein light chain Tctex-type 1
LNX1,ligand of numb-protein X 1
CYFIP1,cytoplasmic FMR1 interacting protein 1
TELO2,telomere maintenance 2
RALGPS2,Ral GEF with PH domain and SH3 binding motif 2
RHOT1,ras homolog family member T1
MAGEC2,MAGE family member C2
COL4A6,collagen type IV alpha 6 chain
WDR37,WD repeat domain 37
SPECC1,sperm antigen with calponin homology and coiled-coil domains 1
FOXQ1,forkhead box Q1
HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
GNB5,G protein subunit beta 5
RFX5,regulatory factor X5
CLNS1A,chloride nucleotide-sensitive channel 1A
TPM3,tropomyosin 3
LAMC3,laminin subunit gamma 3
TPM2,tropomyosin 2
SOWAHC,sosondowah ankyrin repeat domain family member C
RPS27,ribosomal protein S27
TLN1,talin 1
PHKA1,phosphorylase kinase regulatory subunit alpha 1
UPP1,uridine phosphorylase 1
HINFP,histone H4 transcription factor
OTUD5,OTU deubiquitinase 5
IRX1,iroquois homeobox 1
ZC3H11A,zinc finger CCCH-type containing 11A
ANKLE2,ankyrin repeat and LEM domain containing 2
ZNF764,zinc finger protein 764
RNF144B,ring finger protein 144B
PSMB6,proteasome 20S subunit beta 6
SLC45A4,solute carrier family 45 member 4
LACTB,lactamase beta
ZBTB33,zinc finger and BTB domain containing 33
PDGFRA,platelet derived growth factor receptor alpha
SRSF2,serine and arginine rich splicing factor 2
MMP7,matrix metallopeptidase 7
LZTS2,leucine zipper tumor suppressor 2
CHD8,chromodomain helicase DNA binding protein 8
TOP2A,DNA topoisomerase II alpha
NEK6,NIMA related kinase 6
GALNT4,polypeptide N-acetylgalactosaminyltransferase 4
KLK7,kallikrein related peptidase 7
NEDD4L,NEDD4 like E3 ubiquitin protein ligase
NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1
NEDD8,NEDD8 ubiquitin like modifier
FBXO32,F-box protein 32
ARCN1,archain 1
MIR10B,microRNA 10b
ATXN2,ataxin 2
IL1RAPL2,interleukin 1 receptor accessory protein like 2
SCN2B,sodium voltage-gated channel beta subunit 2
LIFR-AS1,LIFR antisense RNA 1
MEN1,menin 1
FKBP14,FKBP prolyl isomerase 14
MOCOS,molybdenum cofactor sulfurase
PCBP3,poly(rC) binding protein 3
UBE2B,ubiquitin conjugating enzyme E2 B
HSPD1,heat shock protein family D (Hsp60) member 1
GSTM1,glutathione S-transferase mu 1
NUP210,nucleoporin 210
SHC2,SHC adaptor protein 2
MED1,mediator complex subunit 1
RCN2,reticulocalbin 2
MRPS5,mitochondrial ribosomal protein S5
PATL1,"PAT1 homolog 1, processing body mRNA decay factor"
PSMD6,"proteasome 26S subunit, non-ATPase 6"
OR4X1,olfactory receptor family 4 subfamily X member 1 (gene/pseudogene)
SPP1,secreted phosphoprotein 1
NCKAP1,NCK associated protein 1
NANS,N-acetylneuraminate synthase
DNPEP,aspartyl aminopeptidase
NFYA,nuclear transcription factor Y subunit alpha
ARRB2,arrestin beta 2
CREBBP,CREB binding protein
MIR199A2,microRNA 199a-2
METTL14,methyltransferase like 14
TRUB2,TruB pseudouridine synthase family member 2
PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2
RIN1,Ras and Rab interactor 1
SAAL1,serum amyloid A like 1
HIP1,huntingtin interacting protein 1
PRG2,"proteoglycan 2, pro eosinophil major basic protein"
PSPC1,paraspeckle component 1
WAS,WASP actin nucleation promoting factor
TMED10,transmembrane p24 trafficking protein 10
HOXC10,homeobox C10
MIF,macrophage migration inhibitory factor
MPDZ,multiple PDZ domain crumbs cell polarity complex component
ATP6V1D,ATPase H+ transporting V1 subunit D
PLCG1,phospholipase C gamma 1
USP24,ubiquitin specific peptidase 24
PLTP,phospholipid transfer protein
APLF,aprataxin and PNKP like factor
CLCA3P,"chloride channel accessory 3, pseudogene"
WASF3,WASP family member 3
RBM39,RNA binding motif protein 39
GPSM3,G protein signaling modulator 3
TESK2,testis associated actin remodelling kinase 2
FBXO42,F-box protein 42
RPS11,ribosomal protein S11
ACKR4,atypical chemokine receptor 4
CDH7,cadherin 7
CDKL3,cyclin dependent kinase like 3
TOP1MT,DNA topoisomerase I mitochondrial
PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1
CALR,calreticulin
FGFR3,fibroblast growth factor receptor 3
WDCP,WD repeat and coiled coil containing
GPX4,glutathione peroxidase 4
FER,FER tyrosine kinase
SMAD1,SMAD family member 1
BHLHE41,basic helix-loop-helix family member e41
MTOR,mechanistic target of rapamycin kinase
DHFR,dihydrofolate reductase
S100A13,S100 calcium binding protein A13
SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2
DCAF1,DDB1 and CUL4 associated factor 1
LRRFIP2,LRR binding FLII interacting protein 2
SPTLC1,serine palmitoyltransferase long chain base subunit 1
PRAM1,PML-RARA regulated adaptor molecule 1
RBM34,RNA binding motif protein 34
